ngay,sanluong,chatbeo,protein,bo,phomai,suatachkem,suadac,suanguyenchat
2018-01,1229448,4.47,3.6,13404,75269,7222,29280,16354
2018-02,1107347,4.53,3.62,13582,68214,5648,26969,15431
2018-03,1216670,4.54,3.62,14251,76889,6167,27248,15538
2018-04,1192997,4.4,3.54,13992,73710,5848,22761,15073
2018-05,1237622,4.26,3.49,14893,74740,5536,27467,14533
2018-06,1176346,4.11,3.44,11714,71338,6118,28487,13622
2018-07,1179544,4.14,3.43,12286,73373,5229,28530,14268
2018-08,1147894,4.17,3.43,11666,72946,4609,31216,9940
2018-09,1089150,4.31,3.56,10383,71963,5538,27444,11908
2018-10,1108842,4.41,3.63,12639,73524,4685,29448,10541
2018-11,1066585,4.53,3.68,11364,72311,3429,32935,10778
2018-12,1128475,4.54,3.64,13500,74630,4973,31512,13394
2019-01,1167785,4.53,3.62,11231,80401,5518,33356,14272
2019-02,1087913,4.53,3.6,11427,74780,5570,32639,12266
2019-03,1188606,4.49,3.59,12514,79330,5765,33048,14859
2019-04,1174334,4.39,3.59,12336,79438,6155,32928,14028
2019-05,1208136,4.35,3.58,12139,80843,7093,32932,14095
2019-06,1145233,4.26,3.51,11849,77381,5405,32062,16528
2019-07,1162617,4.21,3.44,11553,77479,5063,32523,15030
2019-08,1158400,4.23,3.46,10293,76604,5131,31762,15374
2019-09,1108225,4.35,3.56,10444,75415,4656,32335,14873
2019-10,1132130,4.49,3.63,11124,72065,5089,32630,14565
2019-11,1097848,4.57,3.73,9650,72259,4355,32723,15230
2019-12,1170932,4.57,3.65,11964,74816,7037,31894,16003
2020-01,1207260,4.53,3.6,11216,75877,6490,40639,16601
2020-02,1144895,4.49,3.59,10808,74389,7113,29183,17015
2020-03,1225391,4.52,3.59,11810,85988,6977,33248,14707
2020-04,1194694,4.43,3.6,12043,81706,6177,32217,16447
2020-05,1215935,4.34,3.58,11544,84458,5959,32302,16749
2020-06,1157087,4.35,3.53,9904,82106,3549,34781,14793
2020-07,1177026,4.25,3.51,10047,83246,6063,33130,12171
2020-08,1142547,4.21,3.47,10859,79477,6123,32945,13204
2020-09,1112529,4.33,3.57,9660,79719,4427,30268,13488
2020-10,1136326,4.5,3.64,12289,82641,7123,32854,13148
2020-11,1104019,4.53,3.65,11292,79215,5402,33426,12811
2020-12,1168987,4.57,3.65,12134,83913,5105,28860,16472
2021-01,1195253,4.58,3.65,12758,84963,7268,34462,10420
2021-02,1088432,4.6,3.64,11203,75493,6274,32320,9850
2021-03,1222042,4.57,3.62,12959,85373,6714,30324,10754
2021-04,1189866,4.53,3.63,13057,84160,9019,32361,11957
2021-05,1220709,4.41,3.57,11293,84903,9408,32339,11032
2021-06,1135120,4.27,3.5,9834,78165,7901,31936,10954
2021-07,1145404,4.23,3.48,10873,77955,6317,31591,10870
2021-08,1130293,4.29,3.51,10610,77855,5196,31671,11735
2021-09,1071057,4.34,3.67,8817,75761,5949,30922,7809
2021-10,1094206,4.47,3.6,10888,78544,5161,30873,8032
2021-11,1066110,4.53,3.6,9276,76317,7874,30711,5649
2021-12,1128388,4.56,3.59,11589,79310,7603,30348,7479
